"Province","Lag_Numeric","Lag_Description","RR","Lower","Upper"
"Rayong",0,"cumulative_Lag 0","1.0277","0.9919","1.0648"
"Sa Kaeo",0,"cumulative_Lag 0","1.0175","0.978","1.0586"
"Sakon Nakhon",0,"cumulative_Lag 0","1.0069","0.9664","1.0491"
"Samut Prakan",0,"cumulative_Lag 0","1.0048","0.981","1.0292"
"Samut Songkhram",0,"cumulative_Lag 0","1.0025","0.949","1.0591"
"Satun",0,"cumulative_Lag 0","1.0228","0.9476","1.104"
"Songkhla",0,"cumulative_Lag 0","1.0241","0.9843","1.0655"
"Sukhothai",0,"cumulative_Lag 0","1.0272","0.9921","1.0635"
"Suphan Buri",0,"cumulative_Lag 0","1.0144","0.9811","1.0488"
"Surat Thani",0,"cumulative_Lag 0","1.0181","0.975","1.0632"
"Tak",0,"cumulative_Lag 0","1.0028","0.969","1.0378"
"Trang",0,"cumulative_Lag 0","0.9447","0.832","1.0726"
"Trat",0,"cumulative_Lag 0","1.1466","1.0203","1.2886"
"Ubon Ratchathani",0,"cumulative_Lag 0","1.0153","1.0005","1.0302"
"Udon Thani",0,"cumulative_Lag 0","1.0309","1.0009","1.0618"
"Uthai Thani",0,"cumulative_Lag 0","0.9734","0.9098","1.0415"
"Uttaradit",0,"cumulative_Lag 0","0.971","0.9108","1.0352"
"Yala",0,"cumulative_Lag 0","0.9869","0.9333","1.0435"
"Bangkok",1,"cumulative_Lag 1","1.0216","1.0071","1.0365"
"Buri Ram",1,"cumulative_Lag 1","1.0414","0.9915","1.0937"
"Chachoengsao",1,"cumulative_Lag 1","1.0538","1.0177","1.0912"
"Chanthaburi",1,"cumulative_Lag 1","0.9829","0.8784","1.0998"
"Chiang Mai",1,"cumulative_Lag 1","1.01","0.9954","1.0249"
"Chiang Rai",1,"cumulative_Lag 1","0.9888","0.9778","0.9999"
"Chon Buri",1,"cumulative_Lag 1","1.0376","1.0104","1.0655"
"Kamphaeng Phet",1,"cumulative_Lag 1","1.0026","0.9473","1.0612"
"Kanchanaburi",1,"cumulative_Lag 1","1.0214","0.9928","1.0508"
"Khon Kaen",1,"cumulative_Lag 1","1.0366","1.0179","1.0557"
"Lampang",1,"cumulative_Lag 1","0.9937","0.9711","1.0168"
"Lamphun",1,"cumulative_Lag 1","0.9999","0.9707","1.0299"
"Loei",1,"cumulative_Lag 1","1.0117","0.9873","1.0367"
"Lop Buri",1,"cumulative_Lag 1","1.1296","1.071","1.1913"
"Mae Hong Son",1,"cumulative_Lag 1","1.0094","0.983","1.0364"
"Mukdahan",1,"cumulative_Lag 1","1.0395","0.8958","1.2064"
"Nakhon Pathom",1,"cumulative_Lag 1","1.0202","0.9885","1.0529"
"Nakhon Phanom",1,"cumulative_Lag 1","1.0115","0.9841","1.0397"
"Nakhon Ratchasima",1,"cumulative_Lag 1","1.0509","1.0298","1.0725"
"Nakhon Sawan",1,"cumulative_Lag 1","1.008","0.9791","1.0376"
"Nakhon Si Thammarat",1,"cumulative_Lag 1","1.0484","0.987","1.1136"
"Nan",1,"cumulative_Lag 1","1.0027","0.9785","1.0275"
"Narathiwat",1,"cumulative_Lag 1","0.9735","0.9219","1.028"
"Nong Khai",1,"cumulative_Lag 1","1.0258","1.0005","1.0518"
"Pathum Thani",1,"cumulative_Lag 1","0.9861","0.9538","1.0194"
"Phayao",1,"cumulative_Lag 1","0.9863","0.9623","1.011"
"Phetchabun",1,"cumulative_Lag 1","1.0227","0.9635","1.0857"
"Phichit",1,"cumulative_Lag 1","0.976","0.9114","1.0453"
"Phitsanulok",1,"cumulative_Lag 1","1.0351","1.0095","1.0614"
"Phra Nakhon Si Ayutthaya",1,"cumulative_Lag 1","1.0096","0.9778","1.0424"
"Phrae",1,"cumulative_Lag 1","0.9882","0.9621","1.015"
"Phuket",1,"cumulative_Lag 1","0.973","0.8769","1.0796"
"Prachin Buri",1,"cumulative_Lag 1","1.0276","0.9926","1.0639"
"Prachuap Khiri Khan",1,"cumulative_Lag 1","1.069","0.9911","1.153"
"Ratchaburi",1,"cumulative_Lag 1","1.0336","1.0111","1.0566"
"Rayong",1,"cumulative_Lag 1","1.0454","1.0058","1.0865"
"Sa Kaeo",1,"cumulative_Lag 1","1.0285","0.9857","1.0731"
"Sakon Nakhon",1,"cumulative_Lag 1","1.0084","0.9621","1.0569"
"Samut Prakan",1,"cumulative_Lag 1","1.0173","0.9909","1.0444"
"Samut Songkhram",1,"cumulative_Lag 1","0.9941","0.9374","1.0543"
"Satun",1,"cumulative_Lag 1","1.0072","0.9267","1.0947"
"Songkhla",1,"cumulative_Lag 1","1.0319","0.9885","1.0771"
"Sukhothai",1,"cumulative_Lag 1","1.0374","0.9988","1.0776"
"Suphan Buri",1,"cumulative_Lag 1","1.0014","0.9651","1.0391"
"Surat Thani",1,"cumulative_Lag 1","1.0291","0.9804","1.0803"
"Tak",1,"cumulative_Lag 1","0.9968","0.9614","1.0336"
"Trang",1,"cumulative_Lag 1","0.9491","0.8223","1.0954"
"Trat",1,"cumulative_Lag 1","1.1746","1.0472","1.3175"
"Ubon Ratchathani",1,"cumulative_Lag 1","1.021","1.0046","1.0377"
"Udon Thani",1,"cumulative_Lag 1","1.0414","1.0076","1.0764"
"Uthai Thani",1,"cumulative_Lag 1","0.9943","0.9223","1.0721"
"Uttaradit",1,"cumulative_Lag 1","0.9844","0.9251","1.0476"
"Yala",1,"cumulative_Lag 1","1.02","0.9599","1.084"
"Bangkok",2,"cumulative_Lag 2","1.0317","1.0168","1.0468"
"Buri Ram",2,"cumulative_Lag 2","1.0388","0.9855","1.095"
"Chachoengsao",2,"cumulative_Lag 2","1.0629","1.026","1.1012"
"Chanthaburi",2,"cumulative_Lag 2","0.9879","0.8822","1.1061"
"Chiang Mai",2,"cumulative_Lag 2","1.015","1.0004","1.0299"
"Chiang Rai",2,"cumulative_Lag 2","0.9901","0.9793","1.001"
"Chon Buri",2,"cumulative_Lag 2","1.0492","1.0219","1.0773"
"Kamphaeng Phet",2,"cumulative_Lag 2","0.9749","0.9195","1.0336"
